  0%|          | 0/100 [00:00<?, ?it/s]
Epoch 2, avg running_loss: 0.34222573041915894
Epoch 2, avg running_loss: 0.3444095253944397
Epoch 2, avg running_loss: 0.34497541189193726
Epoch 2, avg running_loss: 0.34039121866226196
Epoch 2, avg running_loss: 0.3310965299606323
Epoch 2, avg running_loss: 0.34688425064086914
Epoch 2, avg running_loss: 0.3427776098251343
Epoch 2, avg running_loss: 0.33450621366500854
Epoch 2, avg running_loss: 0.3524108827114105
Epoch 2, avg running_loss: 0.33021482825279236
Epoch 2, avg running_loss: 0.33257514238357544
Epoch 2, avg running_loss: 0.338542640209198
Epoch 2, avg running_loss: 0.32462093234062195
Epoch 2, avg running_loss: 0.32387953996658325
Epoch 2, avg running_loss: 0.32300806045532227
Epoch 2, avg running_loss: 0.3262189030647278
Epoch 2, avg running_loss: 0.34216269850730896
Epoch 2, avg running_loss: 0.33751562237739563
Epoch 2, avg running_loss: 0.32939788699150085
Epoch 2, avg running_loss: 0.3243502080440521
Epoch 2, avg running_loss: 0.31761690974235535
Epoch 2, avg running_loss: 0.33411434292793274
Epoch 2, avg running_loss: 0.3269577920436859
Epoch 2, avg running_loss: 0.33560141921043396
Epoch 2, avg running_loss: 0.3293320834636688
Epoch 2, avg running_loss: 0.31896087527275085
Epoch 2, avg running_loss: 0.319941908121109
Epoch 2, avg running_loss: 0.31087014079093933
Epoch 2, avg running_loss: 0.3206656575202942
Epoch 2, avg running_loss: 0.31285804510116577
Epoch 2, avg running_loss: 0.3122630715370178
Epoch 2, avg running_loss: 0.3189004957675934
Epoch 2, avg running_loss: 0.3208763301372528
Epoch 2, avg running_loss: 0.3274974524974823
Epoch 2, avg running_loss: 0.32218390703201294
Training loss for 2:280.7763671875
  2%|▏         | 2/100 [16:57<13:46:08, 505.80s/it]
Training for Epoch 3 starting:
Epoch 3, avg running_loss: 0.3202304542064667
Epoch 3, avg running_loss: 0.32282647490501404
Epoch 3, avg running_loss: 0.3068613111972809
Epoch 3, avg running_loss: 0.302748441696167
Epoch 3, avg running_loss: 0.3090565800666809
Epoch 3, avg running_loss: 0.3006151616573334
Epoch 3, avg running_loss: 0.30318623781204224
Epoch 3, avg running_loss: 0.30667540431022644
Epoch 3, avg running_loss: 0.304887980222702
Epoch 3, avg running_loss: 0.3014194071292877
Epoch 3, avg running_loss: 0.31033116579055786
Epoch 3, avg running_loss: 0.309693843126297
Epoch 3, avg running_loss: 0.3147040605545044
Epoch 3, avg running_loss: 0.3058687150478363
Epoch 3, avg running_loss: 0.3082357347011566
Epoch 3, avg running_loss: 0.30222296714782715
Epoch 3, avg running_loss: 0.2953895628452301
Epoch 3, avg running_loss: 0.2929677367210388
Epoch 3, avg running_loss: 0.306719571352005
Epoch 3, avg running_loss: 0.29599902033805847
Epoch 3, avg running_loss: 0.30114588141441345
Epoch 3, avg running_loss: 0.3076765835285187
Epoch 3, avg running_loss: 0.2940793037414551
Epoch 3, avg running_loss: 0.29318320751190186
Epoch 3, avg running_loss: 0.28742715716362
Epoch 3, avg running_loss: 0.29095539450645447
Epoch 3, avg running_loss: 0.3000061810016632
Epoch 3, avg running_loss: 0.2887282371520996
Epoch 3, avg running_loss: 0.29432058334350586
Epoch 3, avg running_loss: 0.28916674852371216
Epoch 3, avg running_loss: 0.2837398648262024
Epoch 3, avg running_loss: 0.2850213050842285
Epoch 3, avg running_loss: 0.2880791127681732
Epoch 3, avg running_loss: 0.2923576533794403
Epoch 3, avg running_loss: 0.2901975214481354
Epoch 3, avg running_loss: 0.28395774960517883
Epoch 3, avg running_loss: 0.28243300318717957
Epoch 3, avg running_loss: 0.276377409696579
Epoch 3, avg running_loss: 0.2853625416755676
Epoch 3, avg running_loss: 0.29009509086608887
Epoch 3, avg running_loss: 0.28094956278800964
Epoch 3, avg running_loss: 0.2822193205356598
Epoch 3, avg running_loss: 0.2667389214038849
Epoch 3, avg running_loss: 0.27650269865989685
Epoch 3, avg running_loss: 0.2699067294597626
Epoch 3, avg running_loss: 0.28658056259155273
Epoch 3, avg running_loss: 0.27304109930992126
Epoch 3, avg running_loss: 0.2716699242591858
Epoch 3, avg running_loss: 0.2787158191204071
Epoch 3, avg running_loss: 0.2707767188549042
Epoch 3, avg running_loss: 0.27754589915275574
Epoch 3, avg running_loss: 0.28205329179763794
Epoch 3, avg running_loss: 0.2718276083469391
Epoch 3, avg running_loss: 0.2788442075252533
Epoch 3, avg running_loss: 0.2710592448711395
Epoch 3, avg running_loss: 0.28129279613494873
Epoch 3, avg running_loss: 0.2701287269592285
Epoch 3, avg running_loss: 0.26670461893081665
Epoch 3, avg running_loss: 0.26180553436279297
Epoch 3, avg running_loss: 0.27214452624320984
Epoch 3, avg running_loss: 0.2686276435852051
Epoch 3, avg running_loss: 0.25363561511039734
Epoch 3, avg running_loss: 0.2626197040081024
Epoch 3, avg running_loss: 0.25660404562950134
Epoch 3, avg running_loss: 0.255840003490448
Epoch 3, avg running_loss: 0.2582866847515106
Epoch 3, avg running_loss: 0.24725942313671112
Epoch 3, avg running_loss: 0.2503666281700134
Epoch 3, avg running_loss: 0.2618153989315033
Epoch 3, avg running_loss: 0.2561561167240143
Epoch 3, avg running_loss: 0.2565687298774719
Epoch 3, avg running_loss: 0.2724584937095642
Epoch 3, avg running_loss: 0.26220715045928955
Epoch 3, avg running_loss: 0.26368722319602966
Epoch 3, avg running_loss: 0.2607174813747406
Epoch 3, avg running_loss: 0.26079633831977844
Epoch 3, avg running_loss: 0.24945461750030518
Epoch 3, avg running_loss: 0.26328012347221375
Epoch 3, avg running_loss: 0.2497713565826416
Epoch 3, avg running_loss: 0.2749505937099457
Training loss for 3:226.0055694580078
  3%|▎         | 3/100 [25:13<13:33:21, 503.11s/it]
Training for Epoch 4 starting:
Epoch 4, avg running_loss: 0.25376954674720764
Epoch 4, avg running_loss: 0.2617073655128479
Epoch 4, avg running_loss: 0.24589073657989502
Epoch 4, avg running_loss: 0.2635813355445862
Epoch 4, avg running_loss: 0.2510797083377838
Epoch 4, avg running_loss: 0.25155529379844666
Epoch 4, avg running_loss: 0.24912288784980774
Epoch 4, avg running_loss: 0.24247144162654877
Epoch 4, avg running_loss: 0.25021684169769287
Epoch 4, avg running_loss: 0.25067663192749023
Epoch 4, avg running_loss: 0.24454224109649658
Epoch 4, avg running_loss: 0.2555466592311859
Epoch 4, avg running_loss: 0.25100818276405334
Epoch 4, avg running_loss: 0.2614836096763611
Epoch 4, avg running_loss: 0.2609625458717346
Epoch 4, avg running_loss: 0.2551349699497223
Epoch 4, avg running_loss: 0.2652077078819275
Epoch 4, avg running_loss: 0.24358487129211426
Epoch 4, avg running_loss: 0.24837397038936615
Epoch 4, avg running_loss: 0.2389640361070633
Epoch 4, avg running_loss: 0.24565580487251282
Epoch 4, avg running_loss: 0.2467867136001587
Epoch 4, avg running_loss: 0.2520332932472229
Epoch 4, avg running_loss: 0.25460872054100037
Epoch 4, avg running_loss: 0.2440095990896225
Epoch 4, avg running_loss: 0.2389581948518753
Epoch 4, avg running_loss: 0.2380843609571457
Epoch 4, avg running_loss: 0.24081674218177795
Epoch 4, avg running_loss: 0.24572066962718964
Epoch 4, avg running_loss: 0.24550049006938934
Epoch 4, avg running_loss: 0.23376873135566711
Epoch 4, avg running_loss: 0.23682205379009247
Epoch 4, avg running_loss: 0.2351841926574707
Epoch 4, avg running_loss: 0.24124577641487122
Epoch 4, avg running_loss: 0.23849621415138245
Epoch 4, avg running_loss: 0.2273954153060913
Epoch 4, avg running_loss: 0.2273779660463333
Epoch 4, avg running_loss: 0.2324020117521286
Epoch 4, avg running_loss: 0.23102323710918427
Epoch 4, avg running_loss: 0.23524010181427002
Epoch 4, avg running_loss: 0.2323158234357834
Epoch 4, avg running_loss: 0.23124487698078156
Epoch 4, avg running_loss: 0.23433499038219452
Epoch 4, avg running_loss: 0.23802585899829865
Epoch 4, avg running_loss: 0.23031477630138397
Epoch 4, avg running_loss: 0.2376069277524948
Epoch 4, avg running_loss: 0.22756390273571014
Epoch 4, avg running_loss: 0.23324982821941376
Epoch 4, avg running_loss: 0.22838714718818665
Epoch 4, avg running_loss: 0.22886721789836884
Epoch 4, avg running_loss: 0.21845152974128723
Epoch 4, avg running_loss: 0.225722074508667
Epoch 4, avg running_loss: 0.22263403236865997
Epoch 4, avg running_loss: 0.22423236072063446
Epoch 4, avg running_loss: 0.2242836207151413
Epoch 4, avg running_loss: 0.21676674485206604
Epoch 4, avg running_loss: 0.2317037582397461
Epoch 4, avg running_loss: 0.23157131671905518
Epoch 4, avg running_loss: 0.23059336841106415
Epoch 4, avg running_loss: 0.22096753120422363
Epoch 4, avg running_loss: 0.2402200698852539
Epoch 4, avg running_loss: 0.22422268986701965
Epoch 4, avg running_loss: 0.2319629192352295
Epoch 4, avg running_loss: 0.22044916450977325
Epoch 4, avg running_loss: 0.2262255698442459
Epoch 4, avg running_loss: 0.22197499871253967
Epoch 4, avg running_loss: 0.23264442384243011
Epoch 4, avg running_loss: 0.23103003203868866
Epoch 4, avg running_loss: 0.22920580208301544
Epoch 4, avg running_loss: 0.21756021678447723
Epoch 4, avg running_loss: 0.22290387749671936
Epoch 4, avg running_loss: 0.21399298310279846
Epoch 4, avg running_loss: 0.21009960770606995
Epoch 4, avg running_loss: 0.22089886665344238
Epoch 4, avg running_loss: 0.20653943717479706
Epoch 4, avg running_loss: 0.21006429195404053
Epoch 4, avg running_loss: 0.21883518993854523
Epoch 4, avg running_loss: 0.22609953582286835
Epoch 4, avg running_loss: 0.2150435447692871
Epoch 4, avg running_loss: 0.20595061779022217
Training loss for 4:188.3076934814453
  4%|▍         | 4/100 [33:26<13:19:42, 499.81s/it]
Training for Epoch 5 starting:
Epoch 5, avg running_loss: 0.1972615271806717
Epoch 5, avg running_loss: 0.21001866459846497
Epoch 5, avg running_loss: 0.20988059043884277
Epoch 5, avg running_loss: 0.2077656239271164
Epoch 5, avg running_loss: 0.21850340068340302
Epoch 5, avg running_loss: 0.20786671340465546
Epoch 5, avg running_loss: 0.2147834300994873
Epoch 5, avg running_loss: 0.20582881569862366
Epoch 5, avg running_loss: 0.2028154581785202
Epoch 5, avg running_loss: 0.19816915690898895
Epoch 5, avg running_loss: 0.20336532592773438
Epoch 5, avg running_loss: 0.2073962241411209
Epoch 5, avg running_loss: 0.20562343299388885
Epoch 5, avg running_loss: 0.21786022186279297
Epoch 5, avg running_loss: 0.2145383208990097
Epoch 5, avg running_loss: 0.209626704454422
Epoch 5, avg running_loss: 0.22297044098377228
Epoch 5, avg running_loss: 0.21507389843463898
Epoch 5, avg running_loss: 0.21341712772846222
Epoch 5, avg running_loss: 0.2030266970396042
Epoch 5, avg running_loss: 0.1933281123638153
Epoch 5, avg running_loss: 0.20053215324878693
Epoch 5, avg running_loss: 0.20618243515491486
Epoch 5, avg running_loss: 0.21185460686683655
Epoch 5, avg running_loss: 0.19932451844215393
Epoch 5, avg running_loss: 0.20595036447048187
Epoch 5, avg running_loss: 0.20359638333320618
Epoch 5, avg running_loss: 0.20216980576515198
Epoch 5, avg running_loss: 0.20234087109565735
Epoch 5, avg running_loss: 0.19803158938884735
Epoch 5, avg running_loss: 0.214142307639122
Epoch 5, avg running_loss: 0.19198894500732422
Epoch 5, avg running_loss: 0.19848214089870453
Epoch 5, avg running_loss: 0.19044718146324158
Epoch 5, avg running_loss: 0.19531677663326263
Epoch 5, avg running_loss: 0.20450377464294434
Epoch 5, avg running_loss: 0.18782947957515717
Epoch 5, avg running_loss: 0.20689646899700165
Epoch 5, avg running_loss: 0.20469723641872406
Epoch 5, avg running_loss: 0.19470402598381042
Epoch 5, avg running_loss: 0.19414936006069183
Epoch 5, avg running_loss: 0.19566020369529724
Epoch 5, avg running_loss: 0.19350402057170868
Epoch 5, avg running_loss: 0.19588953256607056
Epoch 5, avg running_loss: 0.19512540102005005
Epoch 5, avg running_loss: 0.1999371349811554
Epoch 5, avg running_loss: 0.1975989192724228
Epoch 5, avg running_loss: 0.20041778683662415
Epoch 5, avg running_loss: 0.20205210149288177
Epoch 5, avg running_loss: 0.1951470524072647
Epoch 5, avg running_loss: 0.1925554722547531
Epoch 5, avg running_loss: 0.20058274269104004
Epoch 5, avg running_loss: 0.1975729912519455
Epoch 5, avg running_loss: 0.19834962487220764
Epoch 5, avg running_loss: 0.19986361265182495
Epoch 5, avg running_loss: 0.20452158153057098
Epoch 5, avg running_loss: 0.20311442017555237
Epoch 5, avg running_loss: 0.20010891556739807
Epoch 5, avg running_loss: 0.20357771217823029
Epoch 5, avg running_loss: 0.1916792243719101
Epoch 5, avg running_loss: 0.20608945190906525
Epoch 5, avg running_loss: 0.20809338986873627
Epoch 5, avg running_loss: 0.2108721286058426
Epoch 5, avg running_loss: 0.18917223811149597
Epoch 5, avg running_loss: 0.18624375760555267
Epoch 5, avg running_loss: 0.19586992263793945
Epoch 5, avg running_loss: 0.1892780363559723
Epoch 5, avg running_loss: 0.18905329704284668
Epoch 5, avg running_loss: 0.18041802942752838
Epoch 5, avg running_loss: 0.18287378549575806
Epoch 5, avg running_loss: 0.1804596334695816
Epoch 5, avg running_loss: 0.17787684500217438
Epoch 5, avg running_loss: 0.18045075237751007
Epoch 5, avg running_loss: 0.1758810132741928
Epoch 5, avg running_loss: 0.18377667665481567
Epoch 5, avg running_loss: 0.18359991908073425
Epoch 5, avg running_loss: 0.17874775826931
Epoch 5, avg running_loss: 0.18595437705516815
Epoch 5, avg running_loss: 0.18204021453857422
Epoch 5, avg running_loss: 0.17320489883422852
Training loss for 5:158.99465942382812
  5%|▌         | 5/100 [41:48<13:12:39, 500.63s/it]
Training for Epoch 6 starting:
Epoch 6, avg running_loss: 0.17791271209716797
Epoch 6, avg running_loss: 0.17779064178466797
Epoch 6, avg running_loss: 0.1846732646226883
Epoch 6, avg running_loss: 0.18104839324951172
Epoch 6, avg running_loss: 0.18658940494060516
Epoch 6, avg running_loss: 0.17145514488220215
Epoch 6, avg running_loss: 0.17790572345256805
Epoch 6, avg running_loss: 0.18432816863059998
Epoch 6, avg running_loss: 0.17610161006450653
Epoch 6, avg running_loss: 0.18146003782749176
Epoch 6, avg running_loss: 0.1765003800392151
Epoch 6, avg running_loss: 0.17350664734840393
Epoch 6, avg running_loss: 0.17912839353084564
Epoch 6, avg running_loss: 0.18010447919368744
Epoch 6, avg running_loss: 0.17372402548789978
Epoch 6, avg running_loss: 0.16974174976348877
Epoch 6, avg running_loss: 0.1657276302576065
Epoch 6, avg running_loss: 0.18017689883708954
Epoch 6, avg running_loss: 0.17208027839660645
Epoch 6, avg running_loss: 0.17540417611598969
Epoch 6, avg running_loss: 0.172372967004776
Epoch 6, avg running_loss: 0.16991540789604187
Epoch 6, avg running_loss: 0.17506106197834015
Epoch 6, avg running_loss: 0.17793796956539154
Epoch 6, avg running_loss: 0.17661872506141663
Epoch 6, avg running_loss: 0.17143644392490387
Epoch 6, avg running_loss: 0.16891098022460938
Epoch 6, avg running_loss: 0.16739961504936218
Epoch 6, avg running_loss: 0.16514341533184052
Epoch 6, avg running_loss: 0.17747052013874054
Epoch 6, avg running_loss: 0.15811678767204285
Epoch 6, avg running_loss: 0.16844381392002106
Epoch 6, avg running_loss: 0.16463550925254822
Epoch 6, avg running_loss: 0.1681107133626938
Epoch 6, avg running_loss: 0.16543957591056824
Epoch 6, avg running_loss: 0.16807176172733307
Epoch 6, avg running_loss: 0.17194019258022308
Epoch 6, avg running_loss: 0.1695585399866104
Epoch 6, avg running_loss: 0.16083203256130219
Epoch 6, avg running_loss: 0.16715477406978607
Epoch 6, avg running_loss: 0.17267562448978424
Epoch 6, avg running_loss: 0.19632139801979065
Epoch 6, avg running_loss: 0.17958514392375946
Epoch 6, avg running_loss: 0.1757056564092636
Epoch 6, avg running_loss: 0.16486665606498718
Epoch 6, avg running_loss: 0.17037923634052277
Epoch 6, avg running_loss: 0.16697895526885986
Epoch 6, avg running_loss: 0.1717544049024582
Epoch 6, avg running_loss: 0.1711147278547287
Epoch 6, avg running_loss: 0.1642528623342514
Epoch 6, avg running_loss: 0.16112200915813446
Epoch 6, avg running_loss: 0.16307972371578217
Epoch 6, avg running_loss: 0.16134020686149597
Epoch 6, avg running_loss: 0.1674906462430954
Epoch 6, avg running_loss: 0.16664396226406097
Epoch 6, avg running_loss: 0.16160789132118225
Epoch 6, avg running_loss: 0.17625826597213745
Epoch 6, avg running_loss: 0.16117988526821136
Epoch 6, avg running_loss: 0.1722097247838974
Epoch 6, avg running_loss: 0.16014647483825684
Epoch 6, avg running_loss: 0.16566728055477142
Epoch 6, avg running_loss: 0.15758024156093597
Epoch 6, avg running_loss: 0.1597379446029663
Epoch 6, avg running_loss: 0.15306459367275238
Epoch 6, avg running_loss: 0.17028822004795074
Epoch 6, avg running_loss: 0.16393618285655975
Epoch 6, avg running_loss: 0.15970778465270996
Epoch 6, avg running_loss: 0.15431833267211914
Epoch 6, avg running_loss: 0.1627187281847
Epoch 6, avg running_loss: 0.16545210778713226
Epoch 6, avg running_loss: 0.16778461635112762
Epoch 6, avg running_loss: 0.15287600457668304
Epoch 6, avg running_loss: 0.16588030755519867
Epoch 6, avg running_loss: 0.15791144967079163
Epoch 6, avg running_loss: 0.15747855603694916
Epoch 6, avg running_loss: 0.16015653312206268
Epoch 6, avg running_loss: 0.16478165984153748
Epoch 6, avg running_loss: 0.15760479867458344
Epoch 6, avg running_loss: 0.15994183719158173
Epoch 6, avg running_loss: 0.16164061427116394
Training loss for 6:135.33164978027344
  6%|▌         | 6/100 [50:08<13:04:13, 500.57s/it]
Training for Epoch 7 starting:
Epoch 7, avg running_loss: 0.1512962430715561
Epoch 7, avg running_loss: 0.15628300607204437
Epoch 7, avg running_loss: 0.16370394825935364
Epoch 7, avg running_loss: 0.16424560546875
Epoch 7, avg running_loss: 0.16421732306480408
Epoch 7, avg running_loss: 0.16158364713191986
Epoch 7, avg running_loss: 0.17030510306358337
Epoch 7, avg running_loss: 0.15945129096508026
Epoch 7, avg running_loss: 0.15315721929073334
Epoch 7, avg running_loss: 0.16562680900096893
Epoch 7, avg running_loss: 0.15191666781902313
Epoch 7, avg running_loss: 0.15996567904949188
Epoch 7, avg running_loss: 0.15313707292079926
Epoch 7, avg running_loss: 0.14628516137599945
Epoch 7, avg running_loss: 0.15365783870220184
Epoch 7, avg running_loss: 0.1500372737646103
Epoch 7, avg running_loss: 0.15439844131469727
Epoch 7, avg running_loss: 0.1468660831451416
Epoch 7, avg running_loss: 0.14839227497577667
Epoch 7, avg running_loss: 0.14135214686393738
Epoch 7, avg running_loss: 0.15672121942043304
Epoch 7, avg running_loss: 0.14499835669994354
Epoch 7, avg running_loss: 0.14879110455513
Epoch 7, avg running_loss: 0.14529667794704437
Epoch 7, avg running_loss: 0.14316803216934204
Epoch 7, avg running_loss: 0.14406073093414307
Epoch 7, avg running_loss: 0.1423323154449463
Epoch 7, avg running_loss: 0.1488524228334427
Epoch 7, avg running_loss: 0.14885035157203674
Epoch 7, avg running_loss: 0.1420857310295105
Epoch 7, avg running_loss: 0.14415386319160461
Epoch 7, avg running_loss: 0.14484672248363495
Epoch 7, avg running_loss: 0.14895091950893402
Epoch 7, avg running_loss: 0.14742642641067505
Epoch 7, avg running_loss: 0.14427460730075836
Epoch 7, avg running_loss: 0.14458681643009186
Epoch 7, avg running_loss: 0.1408158838748932
Epoch 7, avg running_loss: 0.15087173879146576
Epoch 7, avg running_loss: 0.14237655699253082
Epoch 7, avg running_loss: 0.1456998586654663
Epoch 7, avg running_loss: 0.14298300445079803
Epoch 7, avg running_loss: 0.15393751859664917
Epoch 7, avg running_loss: 0.14998820424079895
Epoch 7, avg running_loss: 0.14261996746063232
Epoch 7, avg running_loss: 0.15385772287845612
Epoch 7, avg running_loss: 0.14597778022289276
Epoch 7, avg running_loss: 0.14208970963954926
Epoch 7, avg running_loss: 0.14066734910011292
Epoch 7, avg running_loss: 0.15655586123466492
Epoch 7, avg running_loss: 0.1420382708311081
Epoch 7, avg running_loss: 0.14292588829994202
Epoch 7, avg running_loss: 0.14613313972949982
Epoch 7, avg running_loss: 0.1440969556570053
Epoch 7, avg running_loss: 0.15131579339504242
Epoch 7, avg running_loss: 0.15478871762752533
Epoch 7, avg running_loss: 0.1483069807291031
Epoch 7, avg running_loss: 0.14040438830852509
Epoch 7, avg running_loss: 0.14943674206733704
Epoch 7, avg running_loss: 0.14151827991008759
Epoch 7, avg running_loss: 0.14757505059242249
Epoch 7, avg running_loss: 0.13785776495933533
Epoch 7, avg running_loss: 0.14074532687664032
Epoch 7, avg running_loss: 0.1434284895658493
Epoch 7, avg running_loss: 0.13719972968101501
Epoch 7, avg running_loss: 0.14220605790615082
Epoch 7, avg running_loss: 0.14285343885421753
Epoch 7, avg running_loss: 0.1331358551979065
Epoch 7, avg running_loss: 0.1383948177099228
Epoch 7, avg running_loss: 0.14391101896762848
Epoch 7, avg running_loss: 0.13664282858371735
Epoch 7, avg running_loss: 0.14420609176158905
Epoch 7, avg running_loss: 0.1411864012479782
Epoch 7, avg running_loss: 0.1329580545425415
Epoch 7, avg running_loss: 0.13464555144309998
Epoch 7, avg running_loss: 0.1373671591281891
Epoch 7, avg running_loss: 0.13751190900802612
Epoch 7, avg running_loss: 0.13851048052310944
Epoch 7, avg running_loss: 0.14082255959510803
Epoch 7, avg running_loss: 0.13920031487941742
Epoch 7, avg running_loss: 0.14611633121967316
Training loss for 7:117.6115951538086
  7%|▋         | 7/100 [58:29<12:55:47, 500.51s/it]
Training for Epoch 8 starting:
Epoch 8, avg running_loss: 0.13886363804340363
Epoch 8, avg running_loss: 0.14131347835063934
